
Image Name                     PID Session Name        Session#    Mem Usage
WmiPrvSE.exe                  3056 Services                   0     12,764 K
svchost.exe                  14468 Services                   0     30,944 K
WmiApSrv.exe                 18888 Services                   0     12,132 K
svchost.exe                  35604 Services                   0      9,928 K
svchost.exe                   9848 Services                   0     15,800 K
Taskmgr.exe                  18648 Console                    6    163,060 K
RuntimeBroker.exe             4124 Console                    6     11,188 K
smartscreen.exe              34172 Console                    6     12,844 K
Antigravity.exe              27496 Console                    6    221,904 K
Antigravity.exe              33236 Console                    6     42,352 K
Antigravity.exe              22036 Console                    6    134,916 K
Antigravity.exe              13352 Console                    6     62,720 K
Antigravity.exe               4696 Console                    6    359,836 K
Antigravity.exe              16932 Console                    6    127,024 K
Antigravity.exe              31540 Console                    6    140,340 K
Antigravity.exe              36796 Console                    6    324,792 K
Antigravity.exe              15516 Console                    6    165,796 K
Antigravity.exe              32376 Console                    6    121,296 K
conhost.exe                  18804 Console                    6      8,132 K
bash.exe                     20628 Console                    6      6,888 K
bash.exe                     25468 Console                    6     13,260 K
conhost.exe                  32940 Console                    6      8,136 K
bash.exe                      4036 Console                    6      6,912 K
bash.exe                     17604 Console                    6     13,464 K
language_server_windows_x    10108 Console                    6  1,616,808 K
conhost.exe                  33992 Console                    6      7,240 K
conhost.exe                  25240 Console                    6      8,080 K
bash.exe                     11664 Console                    6      6,884 K
bash.exe                     32580 Console                    6     13,128 K
WmiPrvSE.exe                 36748 Services                   0     15,164 K
Antigravity.exe              21172 Console                    6    128,784 K
Antigravity.exe              10120 Console                    6     98,704 K
Antigravity.exe               4408 Console                    6    111,900 K
pyrefly.exe                   7628 Console                    6  2,293,184 K
conhost.exe                   7472 Console                    6      7,188 K
chrome.exe                   22592 Console                    6    100,376 K
chrome.exe                   29248 Console                    6     39,352 K
chrome.exe                   14616 Console                    6     44,660 K
chrome.exe                   12916 Console                    6     47,364 K
bash.exe                     24644 Console                    6     10,328 K
tasklist.exe                 25736 Console                    6     11,772 K
