season,game_id,event_id,player_name,on_puck_mean_dist_ft,off_puck_mean_dist_ft,rel_on_puck_mean_dist_ft,rel_off_puck_mean_dist_ft,on_puck_frames,off_puck_frames
20242025,2024021118,253,Matvei Michkov,13.701388918764632,19.241468908530205,-12.475235163430238,-6.90836313535085,4,94
20242025,2024021146,120,Matvei Michkov,56.96903700886171,44.648638833689695,,7.189928193550806,6,21
20242025,2024021146,963,Matvei Michkov,41.7500348667866,35.415369442126554,7.318603775862307,-2.57774570973114,31,29
20242025,2024021146,921,Noah Cates,14.072385426272753,12.677211680571824,-1.6715635300320777,-7.840573673425583,36,49
20242025,2024021159,162,Matvei Michkov,43.34653457728068,33.82656892489551,8.647161290861149,13.403413029576337,29,59
20242025,2024021159,764,Noah Cates,12.524624955606974,12.841689428143974,-3.2193240006978545,-7.061341613752001,3,19
20242025,2024021159,716,Matvei Michkov,45.93528387295792,49.31893494961045,14.267435883393386,5.793813223049128,24,44
20242025,2024021159,964,Noah Cates,35.597424458804696,51.89339142238605,,,12,46
20242025,2024021179,546,Matvei Michkov,44.362526656549306,38.22784593684041,8.616831727674558,14.714723844283238,44,25
20242025,2024021246,1038,Noah Cates,,27.43087135232846,,-11.959692175377995,0,15
20242025,2024021246,665,Noah Cates,40.4487096198725,29.56058402499762,2.4048779818772488,-3.6922735840870864,9,27
20242025,2024021246,982,Matvei Michkov,31.356024735837703,30.64734383840851,-5.403228572270411,-2.502135273236576,13,69
20242025,2024021179,654,Matvei Michkov,27.931523544376372,25.892995863260253,-0.6537763622692303,-0.2277947201278927,34,47
20242025,2024021246,871,Noah Cates,24.340662420267652,23.790891883537945,-1.2046140901683131,-7.959182135052327,19,40
20242025,2024021217,167,Matvei Michkov,53.81530094410493,55.77063009992556,,,19,49
20242025,2024021276,453,Noah Cates,30.841642811707743,31.111839982534384,-1.811928578877989,4.259084030947193,38,35
20242025,2024021307,842,Noah Cates,38.42962399798618,33.36175131792595,7.635099506901135,-4.425865154287322,7,58
20252026,2025020012,951,Noah Cates,16.666324529080672,14.005760232406791,0.5934491872248664,-6.462266337149936,52,36
20242025,2024021307,631,Matvei Michkov,35.51784990838092,32.74303097992864,4.399888954788921,9.442869838106912,27,35
20252026,2025020030,1148,Noah Cates,,31.871609250360248,,6.301797011398897,0,4
20252026,2025020030,644,Noah Cates,23.389136650608,25.65027761604781,-9.904619394246415,-14.170997885150395,10,53
20252026,2025020044,739,Matvei Michkov,,39.70061767272849,,-4.0199073483197125,0,84
20252026,2025020094,554,Matvei Michkov,,28.78413077183273,,,0,1
20252026,2025020127,654,Matvei Michkov,34.27685858803725,31.44101924229153,-5.365102832881746,-10.872146660779652,12,54
20252026,2025020127,816,Matvei Michkov,,30.067975951243326,,-2.618602073084375,0,73
20252026,2025020170,682,Matvei Michkov,,38.35701968648068,,,0,2
20252026,2025020170,725,Matvei Michkov,27.891761593944175,18.792656424334613,3.128948245532776,-3.730780509531801,7,46
20252026,2025020196,157,Noah Cates,19.329672110462635,11.63434444335667,3.060805881459096,-11.301503143383224,65,11
20252026,2025020204,918,Noah Cates,25.243333439727277,29.319755814005884,-8.482398858104318,-7.902587510110212,1,78
20252026,2025020204,77,Matvei Michkov,,46.039145892580166,,9.023833042748713,0,58
20252026,2025020223,571,Matvei Michkov,15.729592938126078,25.770964951397914,-7.086678332142398,-5.15776040459027,1,70
20252026,2025020223,157,Noah Cates,,24.573431273636142,,-1.2998811419279086,0,67
20252026,2025020232,635,Matvei Michkov,25.34636563319268,30.10629426944513,1.405865770200137,6.953463983479768,5,17
20252026,2025020324,977,Noah Cates,27.19980317276285,22.31283483896506,2.6965548548142664,-0.2594379171772623,4,10
20252026,2025020339,323,Noah Cates,41.427800242285485,28.45537359554284,4.213846192107042,4.700494452924652,22,42
20252026,2025020339,317,Matvei Michkov,36.17215246658471,30.64783231583512,5.8689643738778265,-6.220320851771543,26,39
20252026,2025020339,707,Matvei Michkov,31.50581241551255,31.778043612673667,-8.194615800003618,-10.075387107990045,6,72
